,Type,Primary wire,width primary,height primary,Secondary wire,width secondary,height secondary,Stack mm,Tongue mm,wl mm,ww mm,Total Built,Core Loss,Copper Loss,Temperature rise Cu,Temperature rise Fe,Core weight,Conductor weight,Cost,Primary turns,Secondary turns,MTL Primary,MTL Secondary,TPL Primary,TPL Secondary,Length primary,Length secondary,Resistance primary,Resistance secondary,Cu surface area,Core surface area,Weight of Cu kg,Weight of Fe,Primary current,Primary voltage,Primary power,Secondary current,Secondary voltage,Secondary power
848,S/U,5x3,5.3,3.3,5x3,5.3,3.3,120.0,120.0,135.0,35.0,25.199999999999996,94.78684799999999,88.80731947069943,65.23490940597235,27.88551127425272,63.191232,8.680772999999999,24044.542349999996,58,59,54,58,25,25,3132,3422,0.035078399999999996,0.0383264,920.1599999999999,2748.0,8.680772999999999,63.191232,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
866,S/U,5x3,5.3,3.3,5x3,5.3,3.3,120.0,120.0,120.0,50.0,25.199999999999996,94.78684799999999,88.80731947069943,71.90052262203714,27.587328382272187,63.191232,8.680772999999999,24044.542349999996,58,59,54,58,22,22,3132,3422,0.035078399999999996,0.0383264,817.9199999999998,2784.0,8.680772999999999,63.191232,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
858,S/U,5x3,5.3,3.3,5x3,5.3,3.3,120.0,120.0,130.0,40.0,25.199999999999996,94.78684799999999,88.80731947069943,67.30053976474929,27.78532797069654,63.191232,8.680772999999999,24044.542349999996,58,59,54,58,24,24,3132,3422,0.035078399999999996,0.0383264,886.0799999999998,2760.0,8.680772999999999,63.191232,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
864,S/U,5x3,5.3,3.3,5x3,5.3,3.3,120.0,120.0,125.0,45.0,25.199999999999996,94.78684799999999,88.80731947069943,69.51652999612217,27.685936891282953,63.191232,8.680772999999999,24044.542349999996,58,59,54,58,23,23,3132,3422,0.035078399999999996,0.0383264,851.9999999999999,2772.0,8.680772999999999,63.191232,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
1125,S/U,5x3,5.3,3.3,5x3,5.3,3.3,125.0,125.0,120.0,30.0,25.199999999999996,97.53046875000001,84.11898676748581,67.12762505494652,28.426718069806434,65.0203125,8.222495999999998,24066.449324999998,53,54,56,60,22,22,2968,3240,0.033241599999999996,0.036288,841.9199999999998,2762.5,8.222495999999998,65.0203125,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
559,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,120.0,160.0,25.0,21.699999999999996,95.535882,87.75041209829867,58.859473483633096,27.841641019486126,63.690588,8.577461999999999,24071.2359,60,61,51,56,30,30,3060,3416,0.034272,0.03825919999999999,1029.7599999999998,2775.0,8.577461999999999,63.690588,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
30,S/U,5x3,5.3,3.3,5x3,5.3,3.3,100.0,120.0,180.0,30.0,25.199999999999996,89.88408,97.96718336483931,58.63941928928261,26.403269178461894,59.92272,9.576134999999999,24078.00825,69,70,50,54,33,33,3450,3780,0.038639999999999994,0.042336,1154.8799999999999,2784.0,9.576134999999999,59.92272,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
53,S/U,5x3,5.3,3.3,5x3,5.3,3.3,100.0,120.0,175.0,35.0,25.199999999999996,89.88408,97.96718336483931,60.01990750397789,26.325187929991703,59.92272,9.576134999999999,24078.00825,69,70,50,54,33,33,3450,3780,0.038639999999999994,0.042336,1122.8,2794.0,9.576134999999999,59.92272,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
70,S/U,5x3,5.3,3.3,5x3,5.3,3.3,100.0,120.0,170.0,40.0,25.199999999999996,89.88408,97.96718336483931,61.47434936921983,26.247615314493597,59.92272,9.576134999999999,24078.00825,69,70,50,54,32,32,3450,3780,0.038639999999999994,0.042336,1090.7199999999998,2804.0,9.576134999999999,59.92272,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
711,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,130.0,120.0,35.0,25.199999999999996,96.7105035,85.75854820415879,69.0201241941058,27.785433359875384,64.473669,8.3827605,24082.039725000002,55,56,55,59,22,22,3025,3304,0.03388,0.0370048,829.9199999999998,2816.0,8.3827605,64.473669,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
